RIBOSOME DISASSEMBLY	0	1	0	
PHOTORESPIRATION_PLANTCYC	0	1	0	
REGULATION OF TOCOPHEROL CYCLASE ACTIVITY	1	0	0	
GLYCERATE TRANSMEMBRANE TRANSPORTER ACTIVITY	0	0	1	
GLYCINE DEHYDROGENASE (DECARBOXYLATING) ACTIVITY	0	0	0	
REDUCTIVE PENTOSE-PHOSPHATE CYCLE	0	1	0	
CHLOROPLAST THYLAKOID	1	1	1	
METALLOENDOPEPTIDASE ACTIVITY	0	1	0	
PROTEOLYSIS	0	1	0	
KEGG_PHOTOSYNTHESIS	1	1	1	
CELLULAR RESPONSE TO LIGHT INTENSITY	1	0	0	
SULFURTRANSFERASESE_/_RHODANESE_FAMILY_ATSTRII	0	0	1	
STAMEN	1	1	1	
PROTEIN GLUTATHIONYLATION	0	0	1	
KEGG_METABOLIC_PATHWAYS	0	1	0	
GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE (NADP+) (PHOSPHORYLATING) ACTIVITY	0	0	0	
FTSH:_AAA_ATP-DEPENDENT_ZINC_METALLOPEPTIDASE_CELL_DIVISION_PROTEIN_FTSH-LIKE_PROTEIN_FAMILY	0	1	0	
LEAF_LAMINA_BASE	1	1	1	
HYPOCOTYL	1	1	1	
GLYCINE_CLEAVAGE_COMPLEX_PLANTCYC	0	1	0	
PYRIMIDINE NUCLEOBASE METABOLIC PROCESS	0	1	0	
PHOTOSYNTHETIC ELECTRON TRANSPORT IN PHOTOSYSTEM I	1	0	0	
LYSOPHOSPHOLIPASE ACTIVITY	1	0	0	
ELECTRON TRANSPORTER, TRANSFERRING ELECTRONS WITHIN CYTOCHROME B6/F COMPLEX OF PHOTOSYSTEM II ACTIVITY	0	1	0	
ELECTRON TRANSPORTER, TRANSFERRING ELECTRONS WITHIN THE CYCLIC ELECTRON TRANSPORT PATHWAY OF PHOTOSYNTHESIS ACTIVITY	1	0	0	
LEAF_APEX	1	1	1	
KEGG_CARBON_FIXATION_IN_PHOTOSYNTHETIC_ORGANISMS	0	1	0	
VASCULAR_LEAF	1	1	0	
SULFURTRANSFERASESE_/_RHODANESE_FAMILY_ATSTRIV	0	1	0	
SHOOT_SYSTEM	1	1	1	
GLUCONEOGENESIS_PLANTCYC	0	1	0	
THYLAKOID LUMEN	0	0	1	
NAD BINDING	0	1	0	
PHOTOSYNTHETIC MEMBRANE	1	0	0	
ACYL_LIPID_METABOLISM_FAMILY_PLASTID_LIPID-ASSOCIATED_PROTEIN	1	0	0	
NITRITE REDUCTASE COMPLEX [NAD(P)H]	0	0	0	
GLYCOLATE TRANSMEMBRANE TRANSPORTER ACTIVITY	0	0	1	
FLAVIN_BIOSYNTHESIS_I	0	1	0	
CALCIUM ION BINDING	1	0	0	
PHOTOSYSTEM I REACTION CENTER	1	1	1	
NADP BINDING	0	1	0	
DETECTION OF REDOX STATE	1	0	0	
SEPAL	0	1	0	
FOLATE_TRANSFORMATIONS	0	1	0	
CHLOROPLAST	1	1	1	
THYLAKOID MEMBRANE ORGANIZATION	0	1	0	
PHOTOSYNTHESIS	1	1	1	
INORGANIC_SOLUTE_COTRANSPORTERS_PUTATIVE_PHOSPHATE_PERMEASE	0	0	1	
PLASTOQUINOL--PLASTOCYANIN REDUCTASE ACTIVITY	0	1	0	
CAULINE_LEAF	1	1	1	
CHLOROPLAST PHOTOSYSTEM II	1	0	0	
INTEGRAL COMPONENT OF MEMBRANE	0	1	0	
ELECTRON TRANSFER ACTIVITY	1	0	0	
PHOTOSYSTEM II	1	1	1	
POLLEN	0	1	1	
CHLOROPLAST ENVELOPE	0	1	1	
PHOSPHORIBULOKINASE ACTIVITY	0	1	0	
STEM	1	1	1	
GLYCOLATE TRANSMEMBRANE TRANSPORT	0	0	1	
GUARD_CELL	0	1	1	
EPIDERMIS	1	0	0	
UMP BIOSYNTHETIC PROCESS	0	1	0	
PHOTOSYSTEM II REPAIR	0	1	0	
INFLORESCENCE_MERISTEM	1	1	1	
FORMYLTHF_BIOSYNTHESIS_II	0	1	0	
PROTON-TRANSPORTING ATP SYNTHASE COMPLEX, CATALYTIC CORE F(1)	0	0	0	
CHLOROPLAST THYLAKOID MEMBRANE	0	1	1	
PYRIMIDINE NUCLEOSIDE SALVAGE	0	1	0	
GLYCOLYTIC PROCESS	0	1	0	
PHOTOSYNTHETIC ELECTRON TRANSPORT CHAIN	1	0	0	
GLYCOLYSIS_I	0	1	0	
